"app","bc","ug"
25354,"EN_3.6","NA_BG"
25354,"EN_3.7","NA_BG"
25354,"EN_4.1","NA_BG"
25354,"EN_4.3","NA_BG"
26891,"CS_03.1.3","NA_BG"
26891,"CS_03.1.6","NA_BG"
26891,"CS_03.2.1","NA_BG"
26891,"CS_03.6.7","NA_BG"
26891,"EN_6.4","NA_BG"
27069,"CS_03.9.6","NA_BG"
27069,"EN_5.6","NA_BG"
27069,"EN_5.9","NA_BG"
27121,"CO_03.4","NA_BG"
27121,"CO_03.5","NA_BG"
27121,"EN_5.3","NA_BG"
27878,"EN_5.3","NA_BG"
27915,"CO_09.1","NA_BG"
27915,"CO_09.2","NA_BG"
28433,"EN_3.1","NA_BG"
28433,"EN_3.2","NA_BG"
28433,"EN_3.3","NA_BG"
28433,"EN_3.4","NA_BG"
28439,"EN_5.4","NA_BG"
29475,"EN_5.5","NA_BG"
34632,"CO_08.8","NA_BG"
34796,"EN_5","NA_BG"
35847,"CO_07.3","NA_BG"
35851,"EN_5.5","NA_BG"
36129,"CS_03.1.3","NA_BG"
36129,"EN_3.2","NA_BG"
36712,"EN_5.1","NA_BG"
36712,"EN_5.2","NA_BG"
36712,"EN_5.4","NA_BG"
36781,"CO_09.1","NA_BG"
36781,"CO_6.3.3","NA_BG"
36887,"CO_06.3","NA_BG"
36887,"CO_09.2","NA_BG"
36887,"CO_6.3.8","NA_BG"
36889,"CO_06.1","NA_BG"
36889,"CO_06.1.1","NA_BG"
36889,"CO_06.3","NA_BG"
37661,"CO_07.3","NA_BG"
37671,"CO_07.3","NA_BG"
37691,"CO_02.2","NA_BG"
37699,"CO_07.3","NA_BG"
37703,"CO_07.3","NA_BG"
37712,"CO_07.3","NA_BG"
37790,"CS_03.1.2","NA_BG"
37790,"CS_03.1.3","NA_BG"
37793,"CS_03.5.3","NA_BG"
37933,"CO_08.6","NA_BG"
38333,"EN_4.3","NA_BG"
39445,"CS_03.8.5","NA_BG"
39450,"CS_03.5.1","NA_BG"
39450,"EN_3.1","NA_BG"
39454,"EN_3.2","NA_BG"
39457,"EN_3.2","NA_BG"
39468,"EN_5.5","NA_BG"
